Type,LegacyUserID,LegacyUnitID,ResultTitle,SelfAssessmentDate,StartDate,EndDate,ExpiryDate,Where,Points,EndorsedDate,EndorsedStatus,Comments,Files
Achievements,95299,41335,Health & Safety Short Course,,27/07/2017,27/07/2017,27/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95299,41336,Hygiene & Biosecurity Short Course,,26/07/2017,26/07/2017,26/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95299,41337,Manual Handling Short Course,,26/07/2017,26/07/2017,26/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95299,41338,Poultry Welfare Short Course,,27/07/2017,27/07/2017,27/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95301,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95301,41336,Hygiene & Biosecurity Short Course,,08/07/2015,08/07/2015,08/07/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95301,41337,Manual Handling Short Course,,08/07/2015,08/07/2015,08/07/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95301,41338,Poultry Welfare Short Course,,07/07/2015,07/07/2015,07/07/2020,Thai Poultry Veterinary Association,,,,,
Achievements,105851,41335,Health & Safety Short Course,,27/07/2017,27/07/2017,27/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105851,41336,Hygiene & Biosecurity Short Course,,26/07/2017,26/07/2017,26/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105851,41337,Manual Handling Short Course,,26/07/2017,26/07/2017,26/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105851,41338,Poultry Welfare Short Course,,27/07/2017,27/07/2017,27/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105852,41335,Health & Safety Short Course,,27/07/2017,27/07/2017,27/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105852,41336,Hygiene & Biosecurity Short Course,,26/07/2017,26/07/2017,26/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105852,41337,Manual Handling Short Course,,26/07/2017,26/07/2017,26/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,105852,41338,Poultry Welfare Short Course,,27/07/2017,27/07/2017,27/07/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94375,41335,Health & Safety Short Course,,29/09/2016,29/09/2016,29/09/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94375,41336,Hygiene & Biosecurity Short Course,,08/07/2015,08/07/2015,08/07/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94375,41337,Manual Handling Short Course,,08/07/2015,08/07/2015,08/07/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94375,41338,Poultry Welfare Short Course,,07/07/2015,07/07/2015,07/07/2020,Thai Poultry Veterinary Association,,,,,
Achievements,111862,41335,Health & Safety Short Course,,17/10/2018,17/10/2018,17/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111862,41336,Hygiene & Biosecurity Short Course,,17/10/2018,17/10/2018,17/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111862,41337,Manual Handling Short Course,,18/10/2018,18/10/2018,18/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111862,41338,Poultry Welfare Short Course,,18/10/2018,18/10/2018,18/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111861,41335,Health & Safety Short Course,,17/10/2018,17/10/2018,17/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111861,41336,Hygiene & Biosecurity Short Course,,17/10/2018,17/10/2018,17/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111861,41337,Manual Handling Short Course,,18/10/2018,18/10/2018,18/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,111861,41338,Poultry Welfare Short Course,,18/10/2018,18/10/2018,18/10/2023,Thai Poultry Veterinary Association,,,,,
Achievements,94378,41335,Health & Safety Short Course,,29/09/2016,29/09/2016,29/09/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94378,41336,Hygiene & Biosecurity Short Course,,09/06/2015,09/06/2015,09/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94378,41337,Manual Handling Short Course,,09/06/2015,09/06/2015,09/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94378,41338,Poultry Welfare Short Course,,10/06/2015,10/06/2015,10/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95749,41335,Health & Safety Short Course,,29/09/2016,29/09/2016,29/09/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95749,41336,Hygiene & Biosecurity Short Course,,09/06/2015,09/06/2015,09/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95749,41337,Manual Handling Short Course,,09/06/2015,09/06/2015,09/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95749,41338,Poultry Welfare Short Course,,10/06/2015,10/06/2015,10/06/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94380,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94380,41336,Hygiene & Biosecurity Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94380,41337,Manual Handling Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94380,41338,Poultry Welfare Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94380,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,94381,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,94382,41335,Health & Safety Short Course,,24/11/2016,24/11/2016,24/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94382,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,95755,,Health & Safety,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94385,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95756,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95756,41336,Hygiene & Biosecurity Short Course,,08/04/2015,08/04/2015,08/04/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95756,41337,Manual Handling Short Course,,07/04/2015,07/04/2015,07/04/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95756,41338,Poultry Welfare Short Course,,07/04/2015,07/04/2015,07/04/2020,Thai Poultry Veterinary Association,,,,,
Achievements,95756,41341,First Aid Qualification,,25/06/2015,25/06/2015,25/06/2020,Thai Red Cross Society,,,,,
Achievements,107475,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,107475,41336,Hygiene & Biosecurity Short Course,,22/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,107475,41337,Manual Handling Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,107475,41338,Poultry Welfare Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95760,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94386,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94386,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,94388,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94388,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,94390,41335,Health & Safety Short Course,,25/09/2016,25/10/2016,25/10/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94391,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95761,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94392,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,95762,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94394,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94394,41336,Hygiene & Biosecurity Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94394,41337,Manual Handling Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94394,41338,Poultry Welfare Short Course,,16/06/2016,16/06/2016,16/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94394,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,94666,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94666,41336,Hygiene & Biosecurity Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94666,41337,Manual Handling Short Course,,17/06/2016,17/06/2016,17/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94666,41338,Poultry Welfare Short Course,,16/06/2016,16/06/2016,16/06/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94398,41335,Health & Safety Short Course,,24/11/2016,24/11/2016,24/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94398,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,95763,41335,Health & Safety Short Course,,24/11/2016,24/11/2016,24/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,95763,41341,First Aid Qualification,,23/06/2015,23/06/2015,23/06/2020,The Thai Red Cross Society,,,,,
Achievements,94400,41335,Health & Safety Short Course,,24/11/2016,24/11/2016,24/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,106501,41335,Health & Safety Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,106501,41336,Hygiene & Biosecurity Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,106501,41337,Manual Handling Short Course,,24/11/2017,24/11/2017,24/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,106501,41338,Poultry Welfare Short Course,,23/11/2017,23/11/2017,23/11/2022,Thai Poultry Veterinary Association,,,,,
Achievements,94401,41335,Health & Safety Short Course,,24/11/2016,24/11/2016,24/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,94401,41336,Hygiene & Biosecurity Short Course,,25/03/2015,25/03/2015,25/03/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94401,41337,Manual Handling Short Course,,25/03/2015,25/03/2015,25/03/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94401,41338,Poultry Welfare Short Course,,24/03/2015,24/03/2015,24/03/2020,Thai Poultry Veterinary Association,,,,,
Achievements,94401,41341,First Aid Qualification,,25/06/2015,25/06/2015,25/06/2020,Thai Red Cross Society,,,,,
Achievements,94402,41335,Health & Safety Short Course,,25/11/2016,25/11/2016,25/11/2021,Thai Poultry Veterinary Association,,,,,
Achievements,96162,41335,Health & Safety Short Course,,24/11/2016,24/11/2016,24/11/2021,Thai Poultry Veterinary Association,,,,,
