title,legacyId,legacyParentId
Paitoon 2 Farm,44664,44456
Paitoon 3 Farm,49958,44456
Pak Thong Chai 1 Farm,46934,46877
Pak Thong Chai 3 Farm,46938,46877
Pakchong,44836,46879
Pakchong Breeder Farm 2,44968,46926
Pakchong Breeder Farm 3,44969,46926
Pakchong Breeder Farm 4,44970,46926
Pakchong Hatchery,44980,44738
Pakchong Hatchery ,44708,46927
Pakthongchai,44838,46879
Pakthongchai 1 Farm,44777,46878
Pakthongchai 2,44734,46878
Pakthongchai 3 Farm,44778,46878
PAMAIDANG,44573,46877
Pannapong 56 Farm 9,49987,44438
Panomsarakham,45182,46879
Pantong Farm,49292,46982
Panus Farm,48802,47006
"Panus Hatchery Co., LTD",44926,
Panus Poultry Broiler Farm 1,44934,46908
"Panus Poultry Co.,Ltd",44450,
Panus Poultry: Breeder Farms,46909,44450
Panus Poultry: Grower Farms,46908,44450
Panus Poultry: Hatcheries,46907,44450
"Panuspokphand Co, Ltd ",44914,
Panuspokphand Farm office,44922,44914
PAPHAI,44574,46877
Pattamaratjiranon Farm,44910,44438
Pattananikom Breeder Farm 1 ,44975,46926
Pattananikom Breeder Farm 2,44976,46926
Pattananikom Breeder Farm 3,44977,46926
Pattananikom Hatchery,45093,46927
Paungdee Farm,44647,46925
PDPJ: Breeders,45073,
PDPJ: Hatchery,45072,
Penlerd Farm,44898,44438
Pennueng Farm Ltd,44894,44438
Petchabun Province/Hatchery,45101,47014
Petchabun Province/NR-Farm,45096,47015
Petchabun Province/PK-Farm,45098,47015
Petchabun Province/SB-Farm,45095,47015
Petchabun Province/ST1-Farm,45102,47015
Petchabun Province/TR-Farm,45103,47015
Petchabun Province/YS-Farm,45097,47015
Phanomsarakam Hatchery,44722,46877
Phanomsarakam Hatchery,49030,46878
Phattaranan Farm,44471,44456
Phen Sri Farm,49906,47006
Phen Udon Thani,45080,
Piwporn Farm,45151,47006
Piyabhorn Farm LTD. Partnership,44575,46877
Plangyao Breeder Farm,44927,46939
Plangyao Hatchery,44787,46940
Po Luean Charoen Farm,44539,46877
Pong Mai Farm,49940,48860
PONGAM,44576,46877
Pongsagorn Farm,44530,46877
"Poonsiri Farm Co.,Ltd.",44902,44438
Porn Pan Farm,48803,47006
Pornchai Farm,44577,46877
Potter Farm,45012,46878
Potter Farm,45125,46877
PP Breeder Keangkoi Co.Ltd,45198,
PPM Farm 1,49932,44438
PPM Farm 2,49933,44438
Prachinburi /CPF Meat Duck Farm,44843,46877
Prachinburi /Hauwa Farm,44841,46877
Prachinburi /Kokpanomdee Farm,44839,46877
Prachinburi /Wahane Farm,44840,46877
Prachinburi /Wangdal Farm,44842,46877
Prachinburi/Kokthai Farm,48793,46877
Prachinburi/Srimahosod Farm,48791,46877
Pramearn Farm,45031,
Pranee Farm,44482,44456
Prapai farm,44499,44456
Prapas Farm,48848,47006
Praphart Farm,45032,
Prasert Farm,44486,44456
Prateep Tungputthinon (Farm Sripet),44821,44438
Produkcja Drobiarska Pankowski Jan,45071,
Progress Farm,50127,46983
PROGRESSM INTER FARM 5,45021,
PROGRESSM INTER FARM 6,45022,
Promrat 6,44735,46878
Promrat 7,44736,46878
Promyam,44707,46878
Prong Kate Farm,44823,46909
"Prusinowice 67B, 06-150 Swiercze",48747,46964
Puechmongkol Farm,44468,44456
Pullet Farm,44870,44438
Pullet farm 1,49824,44438
Pullet farm 2,49825,44438
Pullet Farm 6,44881,44438
Pullet Farm 7,44882,44438
Pullet Farm 8,44883,44438
Pullet Farm 9,44884,44438
Pung Farm,45044,
Racha Farm,44911,44438
Rachata Farm,49908,47006
Ragkrai Farm,45033,
Raka Farm,44496,44456
Rakpong Farm,44473,44456
Ramida Farm,44502,44456
Rangsit hatchery (RST),48954,48951
Ratchaburi Farm,44994,
Ratchaburi province/Jaruwan-Farm,45117,47013
Ratchaburi province/S.Pornsiri Farm,49387,47013
Ratchaburi province/Sudrit Farm,45006,
Ratchasima Kasetpan Farm,44535,46877
Rattanachaikul,44961,44456
Rattanajongjittakorn,49301,44456
Rawica Stara,49756,44759
Rayong Province/KC-Farm,45099,47015
Rayoung province/Pornjit Farm,45112,47013
Rayoung province/Suphanee Farm,44998,
Reprodukcyjna Ferma Kur Miesnych,48758,48755
Rimpoo Farm,44464,44456
Rom Sai Tong Farm,44822,46909
Ruam Jai,44781,44456
Ruccha Farm,44524,46877
Rugeri Ragebol - 102,48980,48978
"Rugeri, Vra - 101",48979,48978
Rungdamri Farm,44489,44456
Rzeczniow,44761,44759
S.Supawan Farm 2,44650,46925
S.V. Farm,44495,44456
Sa Long Ruea Farm,49947,48860
Saha Farm Breeder,45175,46983
Saha Farm Hatchery,45172,46984
Saha Farms,44795,
Saha Farms: Breeder Farms,46983,44795
Saha Farms: Broilers,46982,44795
Saha Farms: Hatchery,46984,44795
Sahafarm Pattana broiler project,49392,46982
Sai Yok Farm,49946,48860
Saingam,44704,46878
Saingam,44753,44456
Saisuwankankaset Co.Ltd,45046,
Saithong Farm,44830,46878
Saiyut Farm,45153,47006
Sakaeo province/ K1 farm,49391,47013
"Sakaow province/B.N Farm Co,Ltd",45005,
Sakeaw Farm,44995,
Sakrajom Farm,49948,48860
Sakuan Farm,48863,48860
Salug Farm,44756,44456
Samran Farm,45057,
Sanan Farm 2,45061,
Sangthong,44705,46878
SANHAMCHAIKHET Farm,44564,46877
Santisuk Farm,49995,44438
Sap Nimit Farm,49904,47006
Saprungreung Farm,44494,44456
Saraburi Centre,44966,46877
Saraburi province/Nadbaramee Farm,45113,47013
Saraburi province/Tossaphon Farm,45001,
Si Charoen Chai Farm,44542,46877
SIKHIEW FARM,50026,46878
Si-khiew Farm,44837,46878
Simahapho,49363,46983
