legacyId,companyId
94318,44707
94318,44535
94318,44524
94318,44704
94318,44830
94318,44705
94318,44564
94318,44966
94318,44542
94318,50026
94318,44837
94318,44543
94318,44538
94318,49451
94318,44533
94318,44512
94318,44565
94318,44779
94318,45128
94318,44532
94318,44513
94318,44514
94318,44710
94318,49457
94318,46936
94318,44766
94318,44578
94318,44579
94318,44525
94318,44580
94318,44832
94318,44581
94318,46931
94318,44508
94318,44528
94318,44504
94318,44505
94318,44506
94318,44517
94318,44835
94318,44833
94318,44737
94319,44536
94319,44546
94319,44547
94319,44515
94319,44516
94319,44548
94319,44549
94319,44724
94319,44566
94319,44567
94319,44545
94319,44519
94319,46937
94319,44811
94319,44441
94319,49456
94319,49455
94319,44445
94319,44815
94319,46935
94319,44817
94319,49454
94319,44818
94319,49458
94319,44442
94319,44443
94319,44768
94319,44765
94319,49957
94319,49450
94319,49449
94319,49930
94319,44703
94319,44550
94319,49563
94319,49565
94319,44446
94319,44544
94319,44568
94319,44726
94319,49564
94319,48792
94319,44551
94319,44437
94319,46878
94319,46877
94319,46879
94319,44541
94319,44706
94319,44552
94319,44569
94319,44527
94319,45126
94319,44721
94319,44828
94319,44553
94319,46932
94319,44727
94319,44728
94319,44570
94319,44717
94319,45018
94319,45019
94319,44509
94319,44510
94319,44511
94319,46933
94319,44529
94319,44523
94319,44554
94319,44555
94319,44556
94319,45020
94319,44701
94319,44557
94319,44558
94319,44559
94319,44729
94319,44730
94319,44571
94319,44731
94319,44700
94319,44733
94319,44712
94319,45015
94319,45016
94319,44709
94319,45127
94319,44560
94319,44540
94319,44816
94319,44531
94319,44507
94319,44965
94319,44716
94319,44572
94319,44834
94319,50133
94319,44964
94319,49459
94319,49453
94319,44812
94319,44444
94319,49448
94319,44814
94319,44439
94319,49445
94319,44810
94319,44813
94319,49446
94319,49447
94319,48788
94319,49416
94319,44767
94319,44518
94319,44769
94319,44764
94319,44522
94319,44534
94319,44561
94319,44562
94319,44563
94319,44831
94319,46934
94319,46938
94319,44836
94319,44838
94319,44777
94319,44734
94319,44778
94319,44573
94319,45182
94319,44574
94319,44722
94319,44575
94319,44539
94319,44576
94319,44530
94319,44577
94319,45125
94319,44843
94319,44841
94319,44839
94319,44840
94319,44842
94319,48793
94319,48791
94319,44735
94319,44736
94319,44707
94319,44535
94319,44524
94319,44704
94319,44830
94319,44705
94319,44564
94319,44966
94319,44542
94319,50026
94319,44837
94319,44543
94319,44538
94319,49451
94319,44533
94319,44512
94319,44565
94319,44779
94319,45128
94319,44532
94319,44513
94319,44514
94319,44710
94319,49457
94319,46936
94319,44766
94319,44578
94319,44579
94319,44525
94319,44580
94319,44832
94319,44581
94319,46931
94319,44508
94319,44528
94319,44504
94319,44505
94319,44506
94319,44517
94319,44835
94319,44833
94319,44737
94320,44536
94320,44546
94320,44547
94320,44515
94320,44516
94320,44548
94320,44549
94320,44724
94320,44566
94320,44567
94320,44545
94320,44519
94320,46937
94320,44811
94320,44441
94320,49456
94320,49455
94320,44445
94320,44815
94320,46935
94320,44817
94320,49454
94320,44818
94320,49458
94320,44442
94320,44443
94320,44768
94320,44765
94320,49957
94320,49450
94320,49449
94320,49930
94320,44703
94320,44550
94320,49563
94320,49565
94320,44446
94320,44544
94320,44568
94320,44726
94320,49564
94320,48792
94320,44551
94320,44437
94320,46878
94320,46877
94320,46879
94320,44541
94320,44706
94320,44552
94320,44569
94320,44527
94320,45126
94320,44721
94320,44828
94320,44553
94320,46932
94320,44727
94320,44728
94320,44570
94320,44717
94320,45018
94320,45019
94320,44509
94320,44510
94320,44511
94320,46933
